image_file	caption
Flicker8k_Dataset/1423126855_6cd2a3956c.jpg	<start> Seorang pejalan kaki berpose di ladang hijau dengan domba. <end>
Flicker8k_Dataset/1423126855_6cd2a3956c.jpg	<start> Seorang pria membawa ransel di punggungnya berjalan di padang rumput besar. <end>
Flicker8k_Dataset/1423126855_6cd2a3956c.jpg	<start> Seorang pria di lapangan memakai ransel dan ada domba dan pegunungan di belakangnya. <end>
Flicker8k_Dataset/1423126855_6cd2a3956c.jpg	<start> Seorang pria memakai ransel hiking bersandar pada tiang kayu <end>
Flicker8k_Dataset/1423126855_6cd2a3956c.jpg	<start> Seorang pria mengenakan kemeja hitam berdiri di samping tiang di lapangan berumput. <end>
Flicker8k_Dataset/3606084228_6286a52875.jpg	<start> Seorang pesepeda melompat sepeda mereka sementara kerumunan orang menyebar di lereng bukit jam tangan. <end>
Flicker8k_Dataset/3606084228_6286a52875.jpg	<start> Seorang pengendara motor kotor bersaing sementara penonton menonton. <end>
Flicker8k_Dataset/3606084228_6286a52875.jpg	<start> Seorang pria dengan jaket putih dan helm melakukan trik pada sepedanya. <end>
Flicker8k_Dataset/3606084228_6286a52875.jpg	<start> Seorang pria melakukan aksi udara pada sepeda motor sementara orang-orang di latar belakang menonton. <end>
Flicker8k_Dataset/3606084228_6286a52875.jpg	<start> Seorang pembalap sepeda gunung melompat sepedanya sebagai penonton menonton. <end>
Flicker8k_Dataset/3028561714_83fb921067.jpg	<start> Seekor anjing putih dan coklat melompat melalui udara. <end>
Flicker8k_Dataset/3028561714_83fb921067.jpg	<start> Seekor anjing putih dan coklat berlari di ladang. <end>
Flicker8k_Dataset/3028561714_83fb921067.jpg	<start> seekor anjing putih melompat ke udara. <end>
Flicker8k_Dataset/3028561714_83fb921067.jpg	<start> Anjing putih dan coklat berlari cepat melalui rumput. <end>
Flicker8k_Dataset/3028561714_83fb921067.jpg	<start> Anjing putih dan coklat berlari melintasi rumput. <end>
Flicker8k_Dataset/2914737181_0c8e052da8.jpg	<start> Seorang pria bergantung pada sesuatu saat ia sedang ditarik melalui air. <end>
Flicker8k_Dataset/2914737181_0c8e052da8.jpg	<start> Seorang pria parasails di laut berombak, dengan papan di kakinya untuk menangkap gelombang. <end>
Flicker8k_Dataset/2914737181_0c8e052da8.jpg	<start> Seorang pria waterskis saat ditarik. <end>
Flicker8k_Dataset/2914737181_0c8e052da8.jpg	<start> Sebuah windsurfer di atas air. <end>
Flicker8k_Dataset/2914737181_0c8e052da8.jpg	<start> Man waterskiing di laut biru. <end>
Flicker8k_Dataset/3070485870_eab1a75c6f.jpg	<start> Sebuah snowboarder adalah di udara setelah membuat melompat dekat beberapa pohon. <end>
Flicker8k_Dataset/3070485870_eab1a75c6f.jpg	<start> Sebuah snowboarder adalah melompat di atas lereng salju. <end>
Flicker8k_Dataset/3070485870_eab1a75c6f.jpg	<start> Sebuah snowboarder membuat lompatan terhadap latar belakang berhutan. <end>
Flicker8k_Dataset/3070485870_eab1a75c6f.jpg	<start> Sebuah snowboarder melakukan lompatan di salju. <end>
Flicker8k_Dataset/3070485870_eab1a75c6f.jpg	<start> Snowboarder melakukan aksi di papannya di salju. <end>
Flicker8k_Dataset/3150659152_2ace03690b.jpg	<start> Seorang pria memancing di perahu biru runcing di sungai berjajar dengan pohon palem. <end>
Flicker8k_Dataset/3150659152_2ace03690b.jpg	<start> Seorang pria dengan kano biru bernavigasi di tanah basah dengan daun palem tinggi. <end>
Flicker8k_Dataset/3150659152_2ace03690b.jpg	<start> Seorang pria mendayung kano melalui perairan berhutan. <end>
Flicker8k_Dataset/3150659152_2ace03690b.jpg	<start> Sebuah reson adalah di kano biru di depan beberapa tanaman. <end>
Flicker8k_Dataset/3150659152_2ace03690b.jpg	<start> Orang di perahu aqua di samping bank tropis <end>
Flicker8k_Dataset/3174228611_6cf9d2266b.jpg	<start> Seorang pemain basket mengenakan jersey merah dan putih sambil berlari menyusuri lapangan. <end>
Flicker8k_Dataset/3174228611_6cf9d2266b.jpg	<start> Seorang pria berkulit gelap dengan pakaian olahraga putih bermain basket. <end>
Flicker8k_Dataset/3174228611_6cf9d2266b.jpg	<start> Seorang pria menggiring bola selama pertandingan basket. <end>
Flicker8k_Dataset/3174228611_6cf9d2266b.jpg	<start> Pemain basket SMA bermain basket. <end>
Flicker8k_Dataset/3174228611_6cf9d2266b.jpg	<start> Pemain basket SMA drive ke keranjang. <end>
Flicker8k_Dataset/2701271123_6761bc5f26.jpg	<start> Seekor anjing hitam menggigit bola di tanah tanah. <end>
Flicker8k_Dataset/2701271123_6761bc5f26.jpg	<start> Seekor anjing hitam berjalan di tanah memiliki bola sepak bola di mulutnya. <end>
Flicker8k_Dataset/2701271123_6761bc5f26.jpg	<start> Seekor anjing kecil dengan bola sepak bola di mulutnya berjalan di tanah yang tertutup daerah. <end>
Flicker8k_Dataset/2701271123_6761bc5f26.jpg	<start> Anjing hitam memegang bola sepak bola tua di mulutnya <end>
Flicker8k_Dataset/2701271123_6761bc5f26.jpg	<start> Anjing hitam berjalan melalui tanah dengan bola sepak bola di mulutnya. <end>
Flicker8k_Dataset/3523819210_99782628fc.jpg	<start> Seorang pria duduk di belakang dua kanvas kardus. <end>
Flicker8k_Dataset/3523819210_99782628fc.jpg	<start> Seorang pria duduk di kursi metal biru. <end>
Flicker8k_Dataset/3523819210_99782628fc.jpg	<start> Seorang pria duduk di kursi di jalan, di sebelah papan. <end>
Flicker8k_Dataset/3523819210_99782628fc.jpg	<start> Pria duduk di kursi biru di luar dekat lukisan besar. <end>
